source,metric,value
global_metadata,timestamp,2026-01-26T17:30:26
global_metadata,analysis_name,unnamed_analysis
global_metadata,matching_engine,aho
global_metadata,allow_wildcard,True
global_metadata,wildcards,X
query_db,n_queries,206
query_db,n_unique_queries,81
target_db,n_targets,21999
target_db,n_targets_with_wildcards,463
target_db,fraction_targets_with_wildcards,0.021046411200509114
matching_summary,n_total_matches,332
matching_summary,n_strict_matches,332
matching_summary,n_wildcard_matches,0
matching_summary,n_unique_queries_with_match,96
matching_summary,fraction_unique_queries_with_match,1.1851851851851851
matching_summary,mean_matches_per_unique_query,3.4583333333333335
matching_summary,max_matches_per_unique_query,17
matching_summary,n_targets_hit,132
matching_summary,mean_queries_per_target_with_match,2.515151515151515
matching_summary,max_queries_per_target_with_match,11
strict_matching,n_unique_queries_with_strict_match,96
strict_matching,fraction_unique_queries_with_strict_match,1.1851851851851851
strict_matching,mean_strict_matches_per_unique_query,3.4583333333333335
strict_matching,max_strict_matches_per_unique_query,17
